Date,Open,High,Low,Close,Adj Close,Volume
2021-04-06,89.599998,90.680000,89.449997,89.599998,85.551720,1390616
2021-04-07,89.610001,90.529999,88.629997,89.070000,85.045677,843541
2021-04-08,89.900002,90.059998,87.220001,88.169998,84.186333,1402345
2021-04-09,88.360001,88.449997,87.690002,88.000000,84.024017,834685
2021-04-12,89.199997,89.360001,88.389999,88.949997,84.931091,1048397
2021-04-13,88.970001,89.550003,88.339996,88.339996,84.348656,1033147
2021-04-14,88.080002,88.099998,86.910004,87.209999,83.269707,1193472
2021-04-15,87.400002,87.900002,87.110001,87.470001,83.517960,937702
2021-04-16,87.750000,88.860001,87.470001,88.379997,84.386848,2037121
2021-04-19,88.980003,89.160004,87.660004,87.699997,83.737564,918670
2021-04-20,87.529999,88.430000,85.699997,86.180000,82.286247,1712352
2021-04-21,86.500000,86.559998,83.809998,85.209999,81.360077,1800624
2021-04-22,85.540001,86.580002,85.150002,86.180000,82.286247,1104441
2021-04-23,85.839996,86.870003,85.459999,86.309998,82.410370,997022
2021-04-26,86.349998,86.790001,85.790001,86.790001,82.868690,948496
2021-04-27,86.699997,86.699997,85.349998,86.209999,82.314896,642305
2021-04-28,86.550003,86.550003,85.889999,85.889999,82.009346,798454
2021-04-29,85.790001,85.830002,83.070000,83.800003,80.013779,1494900
2021-04-30,84.000000,84.940002,83.360001,83.400002,79.631851,1111553
2021-05-03,83.809998,84.550003,83.580002,84.129997,80.328865,812468
2021-05-04,84.389999,84.540001,81.610001,81.849998,78.151878,1559872
2021-05-05,82.050003,83.180000,81.379997,82.970001,79.221283,1631218
2021-05-06,83.110001,84.169998,82.699997,83.389999,79.622307,1111585
2021-05-07,82.980003,85.169998,82.500000,83.639999,79.861008,1393615
2021-05-10,84.419998,85.230003,83.980003,85.180000,81.331429,1018526
2021-05-11,84.250000,84.690002,83.360001,84.220001,80.414803,1164796
2021-05-12,84.000000,84.750000,83.000000,84.480003,80.663063,1109062
2021-05-13,82.370003,82.370003,79.760002,81.849998,79.949997,1417327
2021-05-14,82.900002,83.720001,81.699997,83.680000,83.680000,1254941
2021-05-17,83.830002,85.019997,83.830002,84.690002,84.690002,1107537
2021-05-18,85.489998,86.220001,83.980003,85.070000,85.070000,1173807
2021-05-19,84.199997,84.580002,82.800003,83.699997,83.699997,1182500
2021-05-20,84.400002,84.690002,83.300003,84.690002,84.690002,1309342
2021-05-21,85.599998,86.290001,84.919998,85.300003,85.300003,1436621
2021-05-25,86.000000,86.669998,85.470001,85.769997,85.769997,1215260
2021-05-26,86.220001,86.500000,85.250000,86.320000,86.320000,840228
2021-05-27,86.339996,87.809998,85.720001,87.680000,87.680000,1633744
2021-05-28,87.820000,87.959999,87.139999,87.209999,87.209999,970900
2021-05-31,86.480003,87.260002,86.320000,86.699997,86.699997,607470
2021-06-01,87.669998,89.360001,87.669998,89.010002,89.010002,1163996
2021-06-02,89.220001,90.639999,88.830002,90.300003,90.300003,1217637
2021-06-03,90.500000,94.199997,90.370003,93.870003,93.870003,1908125
2021-06-04,94.000000,95.300003,93.680000,94.400002,94.400002,1551957
2021-06-07,94.769997,95.889999,94.169998,95.889999,95.889999,1111346
2021-06-08,95.870003,96.000000,94.220001,95.519997,95.519997,1282271
2021-06-09,95.400002,96.389999,93.959999,94.599998,94.599998,1109590
2021-06-10,94.099998,94.269997,92.839996,92.849998,92.849998,1300015
2021-06-11,93.169998,94.839996,92.709999,94.739998,94.739998,941041
2021-06-14,94.750000,95.169998,94.190002,94.790001,94.790001,1093509
2021-06-15,94.860001,94.910004,94.139999,94.410004,94.410004,1248131
2021-06-16,94.860001,95.250000,92.519997,92.980003,92.980003,1348477
2021-06-17,92.370003,94.199997,91.419998,93.260002,93.260002,1023587
2021-06-18,93.279999,93.510002,90.580002,90.949997,90.949997,2235417
2021-06-21,89.769997,93.269997,89.370003,93.129997,93.129997,1124341
2021-06-22,93.610001,93.690002,92.500000,92.970001,92.970001,862184
2021-06-23,92.820000,93.339996,91.370003,91.370003,91.370003,873245
