Date,Open,High,Low,Close,Adj Close,Volume
2021-04-06,76.320000,76.849998,75.410004,75.480003,75.480003,2643533
2021-04-07,75.589996,76.639999,75.410004,75.610001,75.610001,2703243
2021-04-08,76.489998,76.650002,73.309998,74.209999,74.209999,4050450
2021-04-09,74.500000,75.500000,74.349998,74.910004,74.910004,2946619
2021-04-12,75.080002,76.940002,75.080002,75.970001,75.970001,3646819
2021-04-13,76.599998,76.989998,75.650002,75.650002,75.650002,2685132
2021-04-14,75.750000,75.889999,74.949997,75.410004,75.410004,2411565
2021-04-15,75.589996,75.879997,75.110001,75.360001,75.360001,2455455
2021-04-16,76.949997,77.959999,76.739998,77.389999,77.389999,5312406
2021-04-19,77.949997,77.989998,75.720001,75.959999,75.959999,3244530
2021-04-20,76.309998,77.220001,73.570000,73.690002,73.690002,4231057
2021-04-21,73.910004,74.419998,72.089996,73.570000,73.570000,3490295
2021-04-22,74.029999,74.599998,73.019997,73.779999,73.779999,2179726
2021-04-23,74.660004,75.150002,72.650002,73.699997,73.699997,2783608
2021-04-26,74.320000,74.730003,73.010002,74.690002,74.690002,2600679
2021-04-27,74.709999,74.849998,73.870003,74.610001,74.610001,2369309
2021-04-28,75.129997,75.540001,74.680000,75.169998,75.169998,1905991
2021-04-29,75.190002,75.239998,72.849998,73.690002,73.690002,3719166
2021-04-30,73.620003,74.669998,73.379997,74.050003,74.050003,2653944
2021-05-03,74.300003,75.059998,74.000000,74.410004,74.410004,1600462
2021-05-04,74.510002,75.000000,72.300003,72.410004,72.410004,3171423
2021-05-05,70.580002,72.339996,70.099998,72.110001,72.110001,6448798
2021-05-06,72.849998,72.970001,71.360001,72.739998,72.739998,3245198
2021-05-07,73.180000,73.529999,72.089996,73.410004,73.410004,3682025
2021-05-10,73.660004,73.919998,73.360001,73.760002,73.760002,2619681
2021-05-11,72.849998,73.099998,71.500000,72.360001,72.360001,3281166
2021-05-12,72.160004,73.230003,71.620003,72.959999,72.959999,2521076
2021-05-13,72.110001,72.720001,70.040001,72.269997,72.269997,2826751
2021-05-14,72.820000,74.070000,71.809998,73.949997,73.949997,2475936
2021-05-17,74.050003,74.709999,73.550003,74.320000,74.320000,1501968
2021-05-18,74.779999,75.589996,74.099998,74.790001,74.790001,2362561
2021-05-19,73.989998,74.010002,71.879997,72.459999,72.459999,2803336
2021-05-20,73.209999,75.139999,73.050003,75.139999,75.139999,3334586
2021-05-21,75.410004,76.059998,75.400002,75.529999,75.529999,2888163
2021-05-25,76.300003,77.029999,76.050003,76.639999,76.639999,2873725
2021-05-26,77.029999,77.669998,76.230003,77.540001,77.540001,2419055
2021-05-27,77.300003,78.419998,76.120003,77.870003,77.870003,4959133
2021-05-28,78.000000,78.029999,76.169998,76.639999,76.639999,2551446
2021-05-31,76.559998,76.849998,76.050003,76.169998,76.169998,1229411
2021-06-01,76.980003,78.419998,76.959999,78.120003,78.120003,2430591
2021-06-02,78.260002,78.830002,77.879997,78.730003,78.730003,1922813
2021-06-03,79.000000,80.220001,78.540001,79.949997,79.949997,2745700
2021-06-04,79.949997,80.290001,78.970001,79.540001,79.540001,1748751
2021-06-07,79.400002,80.410004,79.300003,80.139999,80.139999,1766959
2021-06-08,80.059998,80.089996,78.239998,78.989998,78.989998,2029175
2021-06-09,78.940002,79.379997,77.550003,78.379997,78.379997,1976181
2021-06-10,78.489998,79.230003,77.550003,78.169998,78.169998,1957788
2021-06-11,78.690002,79.730003,78.349998,79.730003,79.730003,1774362
2021-06-14,79.910004,80.169998,78.919998,78.919998,78.919998,1763771
2021-06-15,79.250000,79.660004,78.839996,79.220001,79.220001,1638846
2021-06-16,79.480003,79.820000,77.449997,79.040001,79.040001,3067493
2021-06-17,78.750000,80.389999,78.750000,79.459999,79.459999,2385386
2021-06-18,79.220001,79.750000,76.750000,77.080002,77.080002,5798045
2021-06-21,76.199997,79.440002,75.339996,79.360001,79.360001,2858685
2021-06-22,79.459999,79.459999,78.410004,79.330002,79.330002,1995700
2021-06-23,79.489998,79.879997,78.279999,78.300003,78.300003,1754980
2021-06-24,78.809998,79.540001,78.430000,78.849998,78.849998,2150118
2021-06-25,78.820000,78.849998,77.199997,77.769997,77.769997,2105482
2021-06-28,77.199997,77.839996,75.730003,75.959999,75.959999,2405175
2021-06-29,75.900002,76.910004,75.800003,76.279999,76.279999,1710337
2021-06-30,76.000000,76.339996,74.400002,75.300003,75.300003,2659233
2021-07-01,75.760002,76.529999,75.379997,75.989998,75.989998,1828664
2021-07-02,76.160004,76.849998,76.000000,76.230003,76.230003,1687141
2021-07-05,75.889999,76.339996,74.930000,75.910004,75.910004,1405803
2021-07-06,75.940002,75.940002,72.629997,72.910004,72.910004,3071780
2021-07-07,73.089996,73.589996,71.029999,72.400002,72.400002,3735118
2021-07-08,71.809998,71.809998,69.739998,70.730003,70.730003,3639721
2021-07-09,71.540001,73.050003,70.940002,72.889999,72.889999,3270953
2021-07-12,72.680000,74.089996,71.239998,73.260002,73.260002,2701598
2021-07-13,73.500000,73.760002,72.660004,73.010002,73.010002,1992656
2021-07-14,73.099998,74.139999,72.709999,73.500000,73.500000,1654743
2021-07-15,74.500000,74.820000,72.800003,73.180000,73.180000,2509125
2021-07-16,73.860001,73.860001,71.540001,71.720001,71.720001,2159369
2021-07-19,71.000000,71.180000,68.699997,69.629997,69.629997,3383079
2021-07-20,70.000000,70.610001,69.139999,70.070000,70.070000,2787089
2021-07-21,68.269997,71.720001,67.269997,70.839996,70.839996,3891095
2021-07-22,71.559998,72.620003,71.379997,71.379997,71.379997,2431737
2021-07-23,72.500000,75.849998,72.430000,75.269997,75.269997,4680515
2021-07-26,74.709999,75.570000,73.610001,75.449997,75.449997,2348512
2021-07-27,75.059998,75.059998,73.760002,74.010002,74.010002,2366891
2021-07-28,74.220001,74.709999,73.790001,74.059998,74.059998,1630296
2021-07-29,74.199997,76.230003,73.779999,76.150002,76.150002,2650757
2021-07-30,75.260002,75.620003,74.430000,75.279999,75.279999,2770730
2021-08-02,76.449997,77.440002,76.070000,76.440002,76.440002,2269023
2021-08-03,76.500000,76.690002,75.129997,75.750000,75.750000,1720917
2021-08-04,76.000000,76.760002,75.650002,75.940002,75.940002,1838038
2021-08-05,75.610001,75.919998,74.550003,75.410004,75.410004,1680167
2021-08-06,75.309998,77.010002,74.989998,76.029999,76.029999,1671621
2021-08-09,74.769997,75.519997,74.290001,74.580002,74.580002,1874421
2021-08-10,74.290001,74.730003,73.970001,74.440002,74.440002,1303289
2021-08-11,74.489998,75.169998,73.860001,74.879997,74.879997,1684486
2021-08-12,74.980003,75.949997,74.699997,75.610001,75.610001,1932574
2021-08-13,75.800003,76.199997,75.400002,75.639999,75.639999,1329631
2021-08-16,74.830002,75.050003,73.959999,74.250000,74.250000,1814871
2021-08-17,73.739998,73.849998,72.739998,72.760002,72.760002,2136646
2021-08-18,72.800003,72.809998,71.570000,71.809998,71.809998,2447842
2021-08-19,69.800003,70.449997,69.430000,69.620003,69.620003,3268840
